 code name
110 US..DJUSMR 道琼斯美国抵押房地产信托指数
111 US..DJUSMS 道琼斯美国医疗用品指数
112 US..DJUSMT 道琼斯美国海运交通指数
113 US..DJUSMU 道琼斯美国多功能指数
114 US..DJUSNC 道琼斯美国消费品指数
115 US..DJUSNF 道琼斯美国有色金属指数
116 US..DJUSNG 道琼斯美国个人及家庭用品指数
117 US..DJUSNS 道琼斯美国互联网指数
118 US..DJUSOE 道琼斯美国电子办公设备指数
119 US..DJUSOG 道琼斯美国石油和天然气生产商指数
120 US..DJUSOI 道琼斯美国石油设备与服务指数
121 US..DJUSOL 道琼斯美国综合油气指数
122 US..DJUSOQ 道琼斯美国石油设备，服务与分销指数
123 US..DJUSOS 道琼斯美国勘探与生产指数
124 US..DJUSPB 道琼斯美国出版指数
125 US..DJUSPC 道琼斯美国废物处理服务指数
126 US..DJUSPG 道琼斯美国个人商品指数
127 US..DJUSPL 道琼斯美国管道指数
128 US..DJUSPM 道琼斯美国黄金矿业指数
129 US..DJUSPN 道琼斯美国制药与生物技术指数
130 US..DJUSPP 道琼斯美国纸业指数
131 US..DJUSPR 道琼斯美国医药指数
132 US..DJUSPT 道琼斯美国铂金与贵金属指数
133 US..DJUSRA 道琼斯美国服装零售商指数
134 US..DJUSRB "Dow Jones US Broadline Retailers Index"
135 US..DJUSRD 道琼斯美国药物零售商指数
136 US..DJUSRE "Dow Jones US Real Estate Index"
137 US..DJUSRH 道琼斯美国房地产投资与服务指数
138 US..DJUSRI 道琼斯美国房地产投资信托指数
139 US..DJUSRL "Dow Jones US Retail REITs Index"
140 US..DJUSRN "Dow Jones US Residential REITs Index"
141 US..DJUSRP 道琼斯美国娱乐产品指数
142 US..DJUSRQ 道琼斯美国娱乐服务指数
143 US..DJUSRR 道琼斯美国铁路指数
144 US..DJUSRS 道琼斯美国专业零售商指数
145 US..DJUSRT 道琼斯美国零售指数
146 US..DJUSRU 道琼斯美国餐馆和酒吧指数
147 US..DJUSS "Dow Jones US Small Cap Index"
148 US..DJUSSB 道琼斯美国投资服务公司
149 US..DJUSSC 道琼斯美国半导体指数
150 US..DJUSSD 道琼斯美国软饮料指数
151 US..DJUSSF 道琼斯美国消费者金融指数
152 US..DJUSSP 道琼斯美国专业金融指数
153 US..DJUSSR "Dow Jones US Specialty REITs Index"
154 US..DJUSST 道琼斯美国钢铁指数
155 US..DJUSSV 道琼斯美国软件与计算机服务指数
156 US..DJUSSW 道琼斯美国软件指数
157 US..DJUSTB 道琼斯美国烟草指数
158 US..DJUSTC 道琼斯美国高科技指数
159 US..DJUSTK 道琼斯美国卡车指数
160 US..DJUSTL 道琼斯美国电讯指数
161 US..DJUSTP "Dow Jones US Top Cap Index"
162 US..DJUSTQ 道琼斯美国技术五金设备指数
163 US..DJUSTR 道琼斯美轮胎指数
164 US..DJUSTS 道琼斯美国运输服务指数
165 US..DJUSTT 道琼斯美国旅游与旅游指数
166 US..DJUSTY 道琼斯美国玩具指数
167 US..DJUSUO "Dow Jones US Gas"
168 US..DJUSUT 道琼斯美国公用事业指数
169 US..DJUSVA 道琼斯美国价值指数
170 US..DJUSVE 道琼斯美国常规电力指数
171 US..DJUSVL "Dow Jones US Large-Cap Value Index"
172 US..DJUSVM "Dow Jones US Mid-Cap Value Index"
173 US..DJUSVN 道琼斯美国酿酒商与葡萄酒指数
174 US..DJUSVS "Dow Jones US Small-Cap Value Index"
175 US..DJUSWC 道琼斯美国移动通信指数
176 US..DJUSWU 道琼斯美国水资源指数
177 US..INX 标普500指数
178 US..NDX 纳斯达克100
179 US..SP100 标普100指数
180 US..SPCMI 标普完整指数
181 US..W5000FLT "Wilshire 5000 Total Market Index"
182 US..W5KLC "Wilshire US Large Cap"
183 US..W5KMC "Wilshire US Mid Cap"
184 US..W5KMICRO "Wilshire US Micro Cap"
185 US..W5KSC "Wilshire US Small Cap"
186 US..AEX 荷兰AEX指数
187 US..AS51 澳大利亚指数
188 US..ASE 希腊指数
189 US..ATX 奥地利指数
190 US..BEL20 比利时指数
191 US..CAC 法国指数
192 US..CASE 埃及指数
193 US..CSEALL 斯里兰卡指数
194 US..DAX 德国DAX指数
195 US..FBMKLC 马来西亚指数
196 US..FSSTI 新加坡指数
197 US..FTSEMIB 意大利指数
198 US..HEX 芬兰指数
199 US..IBEX 西班牙指数
200 US..IBOV 巴西指数
201 US..ICEXI 冰岛指数
202 US..INDEXCF 俄罗斯指数
203 US..ISEQ 爱尔兰指数
204 US..JCI 印尼综合指数
205 US..KFX 丹麦指数
206 US..kospi 韩国指数
207 US..KSE100 巴基斯坦指数
208 US..LUXXX 卢森堡指数
209 US..MEXBOL 墨西哥指数
210 US..NKY 日经225指数
211 US..NZSE50FG 新西兰指数
212 US..OBX 挪威指数
213 US..OMX 瑞典OMX指数
214 US..PCOMP 菲律宾指数
215 US..PX 捷克指数
216 US..SENSEX 印度孟买指数
217 US..SET 泰国指数
218 US..SMI 瑞士市场指数
219 US..SPTSX 加拿大指数
220 US..TWSE 台湾加权指数
221 US..UKX 英国指数
222 US..VNINDEX 越南指数
223 US..WIG 波兰指数
